<<<<<<< HEAD
0.1 0.1 1.570796
0.1 0.1222 1.570796
0.1 0.1444 1.570796
0.1 0.16670000000000001 1.570796
0.1 0.1889 1.570796
0.1 0.2111 1.570796
0.1 0.2333 1.570796
0.1 0.2556 1.570796
0.1 0.27780000000000005 1.570796
0.1 0.30000000000000004 1.570796
0.1 0.30000000000000004 1.570796
0.1 0.31110000000000004 1.570796
0.1 0.32220000000000004 1.570796
0.1 0.33330000000000004 1.570796
0.1 0.34440000000000004 1.570796
0.1 0.3556 1.570796
0.1 0.3667 1.570796
0.1 0.3778 1.570796
0.1 0.3889 1.570796
0.1 0.4 1.570796
0.1 0.4 1.570796
0.1 0.6222000000000001 1.570796
0.1 0.8444 1.570796
0.1 1.0667 1.570796
0.1 1.2889 1.570796
0.1 1.5110999999999999 1.570796
0.1 1.7332999999999998 1.570796
0.1 1.9556 1.570796
0.1 2.1778 1.570796
0.1 2.4 1.570796
0.1 2.4 1.570796
0.1 2.4222 1.570796
0.1 2.4444 1.570796
0.1 2.4667 1.570796
0.1 2.4889 1.570796
0.1 2.5111 1.570796
0.1 2.5333 1.570796
0.1 2.5556 1.570796
0.1 2.5778 1.570796
0.1 2.6 1.570796
0.1 2.6 1.570796
0.1 2.6 1.396263
0.1 2.6 1.22173
0.1 2.6 1.047198
0.1 2.6 0.872665
0.1 2.6 0.698132
0.1 2.6 0.523599
0.1 2.6 0.349066
0.1 2.6 0.174533
0.1 2.6 0.0
0.1 2.6 0.0
0.1222 2.6 0.0
0.1444 2.6 0.0
0.16670000000000001 2.6 0.0
0.1889 2.6 0.0
0.2111 2.6 0.0
0.2333 2.6 0.0
0.2556 2.6 0.0
0.27780000000000005 2.6 0.0
0.30000000000000004 2.6 0.0
0.30000000000000004 2.6 0.0
0.32220000000000004 2.6 0.0
0.34440000000000004 2.6 0.0
0.3667 2.6 0.0
0.3889 2.6 0.0
0.4111 2.6 0.0
0.4333 2.6 0.0
0.4556 2.6 0.0
0.47780000000000006 2.6 0.0
0.5 2.6 0.0
0.5 2.6 0.0
0.5222 2.6 0.0
0.5444 2.6 0.0
0.5667 2.6 0.0
0.5889 2.6 0.0
0.6111 2.6 0.0
0.6333 2.6 0.0
0.6556 2.6 0.0
0.6778 2.6 0.0
0.7 2.6 0.0
0.7 2.6 0.0
0.7222 2.6 0.0
0.7444 2.6 0.0
0.7666999999999999 2.6 0.0
0.7888999999999999 2.6 0.0
0.8110999999999999 2.6 0.0
0.8332999999999999 2.6 0.0
0.8555999999999999 2.6 0.0
0.8777999999999999 2.6 0.0
0.8999999999999999 2.6 0.0
0.8999999999999999 2.6 0.0
0.9221999999999999 2.6 0.0
0.9443999999999999 2.6 0.0
0.9666999999999999 2.6 0.0
0.9888999999999999 2.6 0.0
1.0110999999999999 2.6 0.0
1.0332999999999999 2.6 0.0
1.0555999999999999 2.6 0.0
1.0777999999999999 2.6 0.0
1.0999999999999999 2.6 0.0
1.0999999999999999 2.6 0.0
1.1221999999999999 2.6 0.0
1.1443999999999999 2.6 0.0
1.1666999999999998 2.6 0.0
1.1888999999999998 2.6 0.0
1.2110999999999998 2.6 0.0
1.2332999999999998 2.6 0.0
1.2555999999999998 2.6 0.0
1.2777999999999998 2.6 0.0
1.2999999999999998 2.6 0.0
1.2999999999999998 2.6 0.0
1.3221999999999998 2.6 0.0
1.3443999999999998 2.6 0.0
1.3666999999999998 2.6 0.0
1.3888999999999998 2.6 0.0
1.4110999999999998 2.6 0.0
1.4332999999999998 2.6 0.0
1.4555999999999998 2.6 0.0
1.4777999999999998 2.6 0.0
1.4999999999999998 2.6 0.0
1.4999999999999998 2.6 0.0
1.5555999999999999 2.6 0.0
1.6110999999999998 2.6 0.0
1.6666999999999998 2.6 0.0
1.7221999999999997 2.6 0.0
1.7777999999999998 2.6 0.0
1.8332999999999997 2.6 0.0
1.8888999999999998 2.6 0.0
1.9444 2.6 0.0
1.9999999999999998 2.6 0.0
1.9999999999999998 2.6 0.0
2.0221999999999998 2.6 0.0
2.0444 2.6 0.0
2.0667 2.6 0.0
2.0888999999999998 2.6 0.0
2.1111 2.6 0.0
2.1332999999999998 2.6 0.0
2.1555999999999997 2.6 0.0
2.1778 2.6 0.0
2.1999999999999997 2.6 0.0
2.1999999999999997 2.6 0.0
2.1999999999999997 2.6 0.174533
2.1999999999999997 2.6 0.349066
2.1999999999999997 2.6 0.523599
2.1999999999999997 2.6 0.698132
2.1999999999999997 2.6 0.872665
2.1999999999999997 2.6 1.047198
2.1999999999999997 2.6 1.22173
2.1999999999999997 2.6 1.396263
2.1999999999999997 2.6 1.570796
2.1999999999999997 2.6 1.570796
2.1999999999999997 2.6222000000000003 1.570796
2.1999999999999997 2.6444 1.570796
2.1999999999999997 2.6667 1.570796
2.1999999999999997 2.6889000000000003 1.570796
2.1999999999999997 2.7111 1.570796
2.1999999999999997 2.7333000000000003 1.570796
2.1999999999999997 2.7556000000000003 1.570796
2.1999999999999997 2.7778 1.570796
2.1999999999999997 2.8000000000000003 1.570796
2.1999999999999997 2.8000000000000003 1.570796
2.1999999999999997 2.8222000000000005 1.570796
2.1999999999999997 2.8444000000000003 1.570796
2.1999999999999997 2.8667000000000002 1.570796
2.1999999999999997 2.8889000000000005 1.570796
2.1999999999999997 2.9111000000000002 1.570796
2.1999999999999997 2.9333000000000005 1.570796
2.1999999999999997 2.9556000000000004 1.570796
2.1999999999999997 2.9778000000000002 1.570796
2.1999999999999997 3.0000000000000004 1.570796
=======
2.2 2.2 1.570796
2.2 2.2556000000000003 1.570796
2.2 2.3111 1.570796
2.2 2.3667000000000002 1.570796
2.2 2.4222 1.570796
2.2 2.4778000000000002 1.570796
2.2 2.5333 1.570796
2.2 2.5889 1.570796
2.2 2.6444 1.570796
2.2 2.7 1.570796
2.2 2.7 1.570796
2.2 2.7222000000000004 1.570796
2.2 2.7444 1.570796
2.2 2.7667 1.570796
2.2 2.7889000000000004 1.570796
2.2 2.8111 1.570796
2.2 2.8333000000000004 1.570796
2.2 2.8556000000000004 1.570796
2.2 2.8778 1.570796
2.2 2.9000000000000004 1.570796
2.2 2.9000000000000004 1.570796
2.2 2.9111000000000002 1.570796
2.2 2.9222000000000006 1.570796
2.2 2.9333000000000005 1.570796
2.2 2.9444000000000004 1.570796
2.2 2.9556000000000004 1.570796
2.2 2.9667000000000003 1.570796
2.2 2.9778000000000002 1.570796
2.2 2.9889000000000006 1.570796
2.2 3.0000000000000004 1.570796
>>>>>>> 2a3f9f32910b87c1bde7e88fb34282740f157e1f
